title;type of estate;City;Region;Total Price;Price per Square Meter;Area;Room number;Build_year;Floor_no;Heating;MarketType;Building_ownership;Extras_types;Rent;Equipment_types;Construction_status;Building_type;Building_material;Media_types;Security_types;latitude;longitude
Mieszkanie Świętokrzyska 40,14m2 + GARAŻ;FLAT;ul. Świętokrzyska;Brodnica;300000;7474;40.14;TWO;mieszkanie-swietokrzyska-40-14m2-garaz-ID4iJCm;2008;floor_1;urban;secondary;full_ownership;balcony, basement, garage;400;furniture;ready_to_use;block;breezeblock;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring;53.25700010434839;19.382996199613956
Mieszkanie 65,4m2 Karbowo Młodzieżowa;FLAT;Brodnica;brodnicki;169000;2584;65.4;THREE;mieszkanie-65-4m2-karbowo-mlodziezowa-ID4iJAp;No data;floor_1;urban;secondary;full_ownership;balcony, basement, separate_kitchen;570;furniture;ready_to_use;block;concrete_plate;cable-television, internet, phone;No data;53.25021;19.40285
Mieszkanie, 54,09 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;275000;5084;54.09;THREE;mieszkanie-54-09-m-brodnica-ID4iIOZ;1994;floor_4;No data;secondary;full_ownership;No data;No data;No data;ready_to_use;No data;cellular_concrete;phone;No data;53.25021;19.40285
Apartament MIESZKANIE kawalerka z OGRODEM;FLAT;ul. Zakątek;Brodnica;145232;5800;25.04;ONE;apartament-mieszkanie-kawalerka-z-ogrodem-ID4e0xz;2024;ground_floor;gas;primary;full_ownership;air_conditioning, garage, garden;300;No data;to_completion;block;silikat;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters;53.2713931;19.4155206
Kawalerka na sprzedaż w Brodnicy;FLAT;Matejki;Brodnica;230000;7931;29;ONE;kawalerka-na-sprzedaz-w-brodnicy-ID4iEDr;1989;floor_3;urban;secondary;full_ownership;separate_kitchen;No data;No data;ready_to_use;block;concrete_plate;No data;No data;53.2504;19.4073
Mieszkanie, 64,53 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;349000;5408;64.53;THREE;mieszkanie-64-53-m-brodnica-ID4iDGI;No data;floor_3;No data;secondary;full_ownership;balcony;No data;No data;ready_to_use;No data;concrete_plate;internet, phone;No data;53.2443479;19.4128298
Mieszkanie, 70,10 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;439000;6262;70.1;THREE;mieszkanie-70-10-m-brodnica-ID4itNy;1975;ground_floor;No data;secondary;full_ownership;garage;No data;No data;ready_to_use;No data;brick;internet, phone;No data;53.2594888;19.3992581
Trzypokojowe mieszkanie z balkonem 68,28 m2;FLAT;Brodnica;brodnicki;395000;5785;68.28;THREE;trzypokojowe-mieszkanie-z-balkonem-68-28-m2-ID4isN4;1990;ground_floor;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, separate_kitchen;No data;No data;ready_to_use;block;breezeblock;internet;No data;53.2703;19.399
Mieszkanie Brodnica 45 m2 Ogrodzone Centrum;FLAT;Piaski;Brodnica;219997;4889;45;THREE;mieszkanie-brodnica-45-m2-ogrodzone-centrum-ID4ipnS;No data;floor_4;No data;secondary;full_ownership;basement;No data;furniture;No data;block;No data;No data;No data;53.2489;19.3982
Mieszkanie na parterze sprzedam. Brodnica;FLAT;Brodnica;kujawsko-pomorskie;145000;4337;33.43;ONE;mieszkanie-na-parterze-sprzedam-brodnica-ID4ikxX;No data;ground_floor;electrical;secondary;full_ownership;air_conditioning, basement;No data;furniture, washing_machine;No data;tenement;brick;No data;entryphone;53.2482;19.4002
Ceglana. Mieszkanie do sprzedania;FLAT;ul. Ceglana;Brodnica;190000;4872;39;TWO;ceglana-mieszkanie-do-sprzedania-ID4gQVm;1978;floor_2;urban;secondary;full_ownership;balcony, basement;450;fridge, furniture, oven;ready_to_use;block;concrete_plate;cable-television, internet, phone;entryphone;53.24887369355511;19.410702538653553
Lidzbarska. Mieszkanie do sprzedania;FLAT;ul. Lidzbarska;Brodnica;115000;3485;33;ONE;lidzbarska-mieszkanie-do-sprzedania-ID4i4zu;1930;ground_floor;boiler_room;secondary;full_ownership;No data;350;No data;ready_to_use;block;brick;No data;No data;53.25265411715744;19.41763865717993
Mieszkanie, 55,80 m², Brodnica;FLAT;Sudecka;Brodnica;399000;7151;55.8;THREE;mieszkanie-55-80-m-brodnica-ID4hME2;2015;floor_3;other;secondary;full_ownership;balcony;500;No data;ready_to_use;No data;cellular_concrete;internet, phone;No data;53.2575;19.381111111111
Mieszkanie, 48,20 m², Brodnica;FLAT;Brodnica;brodnicki;177000;3672;48.2;TWO;mieszkanie-48-20-m-brodnica-ID4hJX2;No data;floor_4;other;secondary;co_operative_ownership;balcony;No data;No data;to_renovation;No data;concrete_plate;internet;No data;53.2426317;19.405727
Mieszkanie, 48,40 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;262000;5413;48.4;TWO;mieszkanie-48-40-m-brodnica-ID4hyZ2;No data;floor_2;other;secondary;full_ownership;No data;500;No data;No data;No data;cellular_concrete;internet;No data;53.2426317;19.405727
Mieszkanie, 21 m², Brodnica;FLAT;Gen.Andersa;Brodnica;155000;7381;21;ONE;mieszkanie-21-m-brodnica-ID4hvHl;No data;ground_floor;other;secondary;full_ownership;No data;330;No data;ready_to_use;No data;cellular_concrete;No data;No data;53.268333333333;19.408611111111
Malickiego. Brodnica. Mieszkanie do sprzedania;FLAT;ul. Klemensa Malickiego;Brodnica;163000;4640;35.13;TWO;malickiego-brodnica-mieszkanie-do-sprzedania-ID4g21Q;No data;floor_3;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;basement;300;fridge, furniture, oven, washing_machine;ready_to_use;block;breezeblock;No data;entryphone;53.2706378;19.3994631
Mieszkanie, 60 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;298000;4967;60;THREE;mieszkanie-60-m-brodnica-ID4hbi5;No data;ground_floor;other;secondary;full_ownership;No data;No data;No data;ready_to_use;No data;concrete_plate;internet, phone;No data;53.2419942;19.4075095
Ostoja Nieruchomości - Lidzbarska 47,96m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;254188;5300;47.96;ONE;ostoja-nieruchomosci-lidzbarska-47-96m2-ID4h3gH;2023;floor_1;gas;primary;full_ownership;balcony, garage, usable_room;400;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.2526439;19.4281763
Ostoja Nieruchomości - Lidzbarska 38,93m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;210222;5400;38.93;ONE;ostoja-nieruchomosci-lidzbarska-38-93m2-ID4h3gs;2023;floor_1;gas;primary;full_ownership;balcony, garage, usable_room;350;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.2526439;19.4281763
Ostoja Nieruchomości - Lidzbarska 42,22m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;232210;5500;42.22;TWO;ostoja-nieruchomosci-lidzbarska-42-22m2-ID4h2vq;2023;ground_floor;gas;primary;full_ownership;garage, usable_room;420;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.25356821591413;19.431008712719745
Ostoja Nieruchomości - Lidzbarska 61,34m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;337370;5500;61.34;TWO;ostoja-nieruchomosci-lidzbarska-61-34m2-ID4h2wh;2023;ground_floor;gas;primary;full_ownership;garage, usable_room;450;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.25351686555392;19.43092288203127
Ostoja Nieruchomości - Lidzbarska 65,62m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;360910;5500;65.62;TWO;ostoja-nieruchomosci-lidzbarska-65-62m2-ID4h2ug;2023;ground_floor;gas;primary;full_ownership;garage, usable_room;450;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.253619566212656;19.430751220654315
Ostoja Nieruchomości - Lidzbarska 37,74m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;207570;5500;37.74;ONE;ostoja-nieruchomosci-lidzbarska-37-74m2-ID4h2tA;2023;ground_floor;gas;primary;full_ownership;garage, usable_room;350;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.25356821591413;19.43066538996584
Ostoja Nieruchomości - Lidzbarska 40,84m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;224620;5500;40.84;ONE;ostoja-nieruchomosci-lidzbarska-40-84m2-ID4h2sY;2023;ground_floor;gas;primary;full_ownership;garage, usable_room;350;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.25365807889614;19.431298391293353
Ostoja Nieruchomości - Lidzbarska 25,28m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;139040;5500;25.28;ONE;ostoja-nieruchomosci-lidzbarska-25-28m2-ID4gShw;2023;ground_floor;gas;primary;full_ownership;garage, usable_room;300;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, closed_area, entryphone, monitoring;53.253532912548096;19.430949704121417
Ostoja Nieruchomości - Lidzbarska 32,29m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;174366;5400;32.29;ONE;ostoja-nieruchomosci-lidzbarska-32-29m2-ID4gRwP;2023;floor_1;gas;primary;full_ownership;garage, usable_room;350;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.2526439;19.4281763
Ostoja Nieruchomości - Lidzbarska 47,27m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;250531;5300;47.27;TWO;ostoja-nieruchomosci-lidzbarska-47-27m2-ID4gRtO;2023;floor_1;gas;primary;full_ownership;garage, usable_room;450;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.2526439;19.4281763
Ostoja Nieruchomości - Lidzbarska 39,56m2;FLAT;ul. Maksymiliana Klinickiego;Brodnica;213624;5400;39.56;ONE;ostoja-nieruchomosci-lidzbarska-39-56m2-ID4gRmD;2023;floor_1;gas;primary;full_ownership;garage, usable_room;400;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.2526439;19.4281763
Kościuszki. Duże, wygodne mieszkanie;FLAT;ul. Kościuszki;Brodnica;350000;4375;80;TWO;kosciuszki-duze-wygodne-mieszkanie-ID4gECm;No data;floor_2;urban;secondary;full_ownership;basement, garage;No data;furniture;ready_to_use;tenement;brick;No data;No data;53.254884602379676;19.40307613862306
Ostoja Nieruchomości - Półwiejska 72,27m2 + balkon;FLAT;ul. Półwiejska;Brodnica;353057;4885;72.27;FOUR;ostoja-nieruchomosci-polwiejska-72-27m2-balkon-ID4gswm;2023;floor_2;urban;primary;full_ownership;air_conditioning, balcony, basement, garage, two_storey;420;No data;to_completion;apartment;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.27076586796069;19.400586208811248
Ostoja Nieruchomości - Półwiejska 61,48m2 + balkon;FLAT;ul. Półwiejska;Brodnica;296584;4824;61.48;FOUR;ostoja-nieruchomosci-polwiejska-61-48m2-balkon-ID4gswd;2023;floor_2;urban;primary;full_ownership;air_conditioning, balcony, basement, garage, two_storey;400;No data;to_completion;apartment;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.2708171976136;19.400586208811248
Ostoja Nieruchomości - Półwiejska 61,57m2 + balkon;FLAT;ul. Półwiejska;Brodnica;296949;4823;61.57;FOUR;ostoja-nieruchomosci-polwiejska-61-57m2-balkon-ID4gsw4;2023;floor_2;urban;primary;full_ownership;air_conditioning, balcony, basement, garage, two_storey;400;No data;to_completion;apartment;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.27066320846996;19.400586208811248
Ostoja Nieruchomości - Półwiejska 61,27m2 + balkon;FLAT;ul. Półwiejska;Brodnica;293107;4784;61.27;FOUR;ostoja-nieruchomosci-polwiejska-61-27m2-balkon-ID4gsuS;2023;floor_2;urban;primary;full_ownership;air_conditioning, balcony, basement, garage, two_storey;400;No data;to_completion;apartment;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.27075303553779;19.400618395319427
Mieszkanie, 72,50 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;310000;4276;72.5;FOUR;mieszkanie-72-50-m-brodnica-ID4gmQT;No data;floor_4;other;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony;No data;No data;ready_to_use;No data;cellular_concrete;No data;No data;53.2443479;19.4128298
Mieszkanie na Witosa;FLAT;Brodnica;kujawsko-pomorskie;285000;3958;72;THREE;mieszkanie-na-witosa-ID4fS4H;No data;floor_3;No data;secondary;full_ownership;balcony;No data;No data;ready_to_use;No data;No data;No data;No data;53.25021;19.40285
Mieszkanie, 149 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;375000;2517;149;FIVE;mieszkanie-149-m-brodnica-ID47Han;No data;ground_floor;other;secondary;full_ownership;No data;No data;No data;No data;No data;No data;No data;No data;53.2520687;19.3951401
Mieszkanie, 148,96 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;375000;2517;148.96;FOUR;mieszkanie-148-96-m-brodnica-ID3q51O;1937;ground_floor;boiler_room;secondary;No data;balcony, basement;No data;No data;No data;tenement;brick;No data;No data;53.2599703;19.3956618
